moles_diluent, Y_n2, Y_co2, gamma_N2, gamma_CO2, CJ_n2, CJ_co2
0.0,0.0,0.0,1.24704811412,1.24704811412,2188.74878818,2188.74878818
0.5,0.0281125416895,0.0434679546061,1.25123307393,1.24857408907,2174.086167,2138.8667446
1.0,0.0546876738675,0.0833144025443,1.2551958061,1.24998955415,2160.03410455,2093.34572002
1.5,0.0798481558483,0.119973829839,1.25895355374,1.25130609444,2146.54419457,2051.66843257
2.0,0.103704016312,0.153813892529,1.26252182104,1.25253373034,2133.57314157,2013.36644953
2.5,0.126354161874,0.18514779009,1.26591458706,1.25368117312,2121.08207674,1978.02553062
3.0,0.147887747765,0.214243987927,1.2691444888,1.25475603198,2109.03599446,1945.28554359
3.5,0.168385350681,0.241333928697,1.27222297844,1.25576498292,2097.40327547,1914.83662642
4.0,0.187919976333,0.266618201645,1.27516045904,1.25671390762,2086.1552743,1886.4134504
4.5,0.206557928252,0.290271518083,1.27796640198,1.2576080081,2075.26597512,1859.78895279
5.0,0.224359559633,0.312446754132,1.28064944898,1.25845190218,2064.7116869,1834.76846282
5.5,0.241379926201,0.333278258535,1.28321750099,1.25924970323,2054.47085226,1811.18541387
6.0,0.257669354957,0.352884576835,1.28567779591,1.26000508722,2044.52347374,1788.89297327
6.5,0.273273941191,0.371370708625,1.28803697669,1.26072134937,2034.85162717,1767.76677142
7.0,0.288235984101,0.388829988641,1.29030115127,1.26140145217,2025.43854479,1747.69724944
7.5,0.302594369684,0.405345662866,1.29247594533,1.26204806639,2016.26889855,1728.58838394
8.0,0.316384908205,0.420992215805,1.29456654902,1.26266360608,2007.32860439,1710.35562391
8.5,0.329640632391,0.435836493595,1.29657775826,1.26325025872,1998.60438078,1692.92424857
9.0,0.342392061608,0.44993865867,1.29851401148,1.26381001117,1990.08433721,1676.22769788
9.5,0.354667436433,0.463353004738,1.30037942235,1.26434467217,1981.75718095,1660.2069472
10.0,0.366492927453,0.47612865535,1.30217780892,1.26485589186,1973.61249538,1644.80846028
10.5,0.377892821505,0.488310165005,1.30391271973,1.26534517879,1965.64059471,1629.98472586
11.0,0.388889688171,0.499938038292,1.30558745714,1.26581391478,1957.83245557,1615.69317388
11.5,0.399504528921,0.511049179831,1.30720509837,1.26626336796,1950.17973259,1601.89512042
12.0,0.409756910975,0.521677285524,1.3087685143,1.26669470424,1942.67436852,1588.55552886
12.5,0.419665087683,0.531853183868,1.31028038655,1.26710899738,1935.30921451,1575.64260678
13.0,0.429246106985,0.541605134613,1.31174322276,1.26750723793,1928.07739865,1563.12742975
13.5,0.438515909296,0.550959090846,1.31315937051,1.26789034115,1920.97374541,1550.98363484
